endpoint	model	input_chars	exit_code	http_code	elapsed_sec	detail
https://fast.vpsairobot.com/responses	gpt-5.3-codex	1536	0	200	13.360	{"id":"resp_0a9b5b7d2ffe3aa90169c4f0a955c88191ae6d92a7a88b9707","object":"response","created_at":1774514345,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	2048	0	200	6.608	{"id":"resp_0c3052bc5237c2300169c4f0b67f348191b8a79ae324835365","object":"response","created_at":1774514358,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	3072	0	200	18.965	{"id":"resp_05191ad4d0a2f75a0169c4f0bd2a688191b3ea62912cdf20b8","object":"response","created_at":1774514365,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	4096	0	200	6.322	{"id":"resp_05a5bbd78831cb6a0169c4f0d28750819584ae927429dac2c5","object":"response","created_at":1774514386,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	16	0	200	4.010	{"id":"resp_07abc7189be0cd190169c4f0d6ac508195914ac323e1a12d34","object":"response","created_at":1774514390,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	64	0	200	8.347	{"id":"resp_0e62f22f62ebb3e60169c4f0dcc11881918f46c3fc571e4cd1","object":"response","created_at":1774514396,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	128	0	200	4.740	{"id":"resp_044feb2f0080c5840169c4f0e33c0c81918e4544984a17eacb","object":"response","created_at":1774514403,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	256	0	200	2.681	{"id":"resp_0895a8ed2f06dc450169c4f0e7678881919e967ef8eeebd8d4","object":"response","created_at":1774514407,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	512	0	200	5.136	{"id":"resp_02d266cad763dd970169c4f0ec1324819196bb458f6f96a207","object":"response","created_at":1774514412,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	768	0	200	6.004	{"id":"resp_0d7c5e4d4ad366ef0169c4f0f205b4819182cf39236f9c8d4a","object":"response","created_at":1774514418,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	1024	0	200	3.585	{"id":"resp_0d9979070219ee660169c4f0f59d1c8191acd52500040d1039","object":"response","created_at":1774514421,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	1536	0	200	3.271	{"id":"resp_07645e158cfc59640169c4f0f9594c8197b1d432fded9c3420","object":"response","created_at":1774514425,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	2048	0	200	3.789	{"id":"resp_06374e9f821138740169c4f0fc25308191b6a11ceecb75ea0e","object":"response","created_at":1774514428,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	3072	0	200	3.582	{"id":"resp_0f3e7fec7ab078660169c4f10057b4819196b35ee214c898fd","object":"response","created_at":1774514432,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5-codex	4096	0	200	5.933	{"id":"resp_0c002db47ebed0de0169c4f10636f48191bab7ebf0f654311e","object":"response","created_at":1774514438,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	16	0	200	5.881	{"id":"resp_0f178cd17de91ebb0169c4f109d8388191b4743dd6dd9be278","object":"response","created_at":1774514441,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	64	0	200	7.945	{"id":"resp_0477687e01492afc0169c4f10f8ea08191ae7a13fca16c6a93","object":"response","created_at":1774514449,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	128	0	200	14.253	{"id":"resp_04050e89c092d8210169c4f117f5508191875a4976f9495ee2","object":"response","created_at":1774514456,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	256	0	200	3.850	{"id":"resp_02da68b6e9090b020169c4f1257f44819685412ef4e3b0b61b","object":"response","created_at":1774514469,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	512	0	200	7.799	{"id":"resp_01ae83609c5746700169c4f12bbafc819198bc841a1e535910","object":"response","created_at":1774514475,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	768	0	200	7.642	{"id":"resp_00d7b408055bcb920169c4f13171dc819bbb6c86048341d4d7","object":"response","created_at":1774514481,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	1024	0	200	14.648	{"id":"resp_0ac3e146e1996c6f0169c4f13937408191b3891912e5b5c56b","object":"response","created_at":1774514489,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	1536	0	200	1.874	event: response.created data: {"type":"response.created","response":{"id":"resp_02bd4f34af2a38840169c4f147775881918b54aedffa59f191","object"
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	2048	0	200	9.710	{"id":"resp_00bc1ddcccf4c66a0169c4f14987c88191b58d4c63cc195b58","object":"response","created_at":1774514505,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	3072	0	200	11.380	{"id":"resp_090564f79ebb7f280169c4f153036c8191b645a32a2fdfd123","object":"response","created_at":1774514515,"status":"completed","background
https://fast.vpsairobot.com/v1/responses	gpt-5.3-codex	4096	0	200	17.204	{"id":"resp_00ce18fbba81442a0169c4f15e46608191b5c4beff0269f003","object":"response","created_at":1774514526,"status":"completed","background
